,CustomerID,unique_invoiceno_count,unique_stockcode_count,total_amount,active_days,Churn_Score,Churn_Status
0,12346,2,1,0.0,0,0.9942526737279075,1
1,12347,7,103,4310.0,365,0.776535363740657,0
2,12348,4,22,1797.24,282,0.8363746595901119,0
3,12349,1,73,1757.55,0,0.9855779879197233,1
4,12350,1,17,334.4,0,0.9933290128193732,1
5,12352,11,59,1545.41,260,0.835807947743185,0
6,12353,1,4,89.0,0,0.9950385258567491,1
7,12354,1,58,1079.4,0,0.9879680808225987,1
8,12355,1,13,459.4,0,0.993643046227611,1
9,12356,3,53,2811.43,302,0.8223353114310209,0
10,12357,1,131,6207.67,0,0.9744038530697343,1
11,12358,2,13,1168.06,149,0.9117865362447812,0
12,12359,6,214,6182.9800000000005,323,0.7859085051274826,0
13,12360,3,105,2662.06,148,0.8992666127359983,0
14,12361,1,10,189.9,0,0.9942625880800973,1
15,12362,13,201,5154.58,292,0.7965657414531144,0
16,12363,2,23,552.0,132,0.9204376485784171,0
17,12364,4,70,1313.1,104,0.926974681801022,0
18,12365,3,22,320.69,0,0.9903566323306153,1
19,12367,1,11,168.9,0,0.9941732437413561,1
20,12370,4,143,3541.94,309,0.8065560717698741,0
21,12371,2,63,1887.96,14,0.9778342941106037,1
22,12372,3,34,1298.04,224,0.8678776304181399,0
23,12373,1,14,364.6,0,0.9936317209929786,1
24,12374,1,33,742.9300000000001,0,0.9911124090420321,1
25,12375,3,14,455.42,95,0.9401682212659515,0
26,12377,2,72,1628.12,39,0.9637002592072563,1
27,12378,1,219,4008.62,0,0.9669126705897394,1
28,12379,3,39,850.29,88,0.940715505558102,0
29,12380,5,77,2720.56,164,0.8913197871657712,0
30,12381,6,70,1803.96,115,0.9181284864914819,0
31,12383,6,84,1839.31,167,0.8886474494630421,0
32,12384,3,26,566.16,92,0.9403211906496312,0
33,12386,2,10,401.9,29,0.9772742954064219,1
34,12388,6,57,2780.66,311,0.8134521989853991,0
35,12390,1,32,549.84,0,0.9914280827845492,1
36,12391,1,92,439.66,0,0.9848518679033493,1
37,12393,4,47,1582.6000000000001,260,0.8456091946653448,0
38,12394,2,26,1272.48,153,0.9080812908360183,0
39,12395,15,91,2998.28,355,0.7749059438949581,0
40,12397,2,110,2409.9,99,0.9264634974397852,0
41,12398,1,85,1635.6599999999999,0,0.9843683075399831,1
42,12399,4,47,1108.65,142,0.9093810175977088,0
43,12401,1,5,84.3,0,0.9949319496562603,1
44,12402,1,11,225.6,0,0.9941133022345408,1
45,12403,2,5,409.7,0,0.9933733718241821,1
46,12405,1,54,1710.39,0,0.9877471970697522,1
47,12406,3,92,3280.75,161,0.8930921268551807,0
48,12407,5,57,1708.1200000000001,214,0.8678113542477672,0
49,12408,9,81,2842.57,227,0.8521061618829935,0
50,12409,7,91,11056.93,103,0.9112238280707187,0
51,12410,3,26,681.0799999999999,7,0.9857761082451657,1
52,12412,3,43,1226.88,94,0.9366540483573387,0
53,12413,5,29,694.15,270,0.8419797397966187,0
54,12414,3,16,562.41,93,0.9409044109737216,0
55,12415,26,444,123725.45,313,0.6170613048887386,0
56,12417,12,158,3578.8,354,0.7709986455349214,0
57,12418,1,34,668.58,0,0.9910794646925077,1
58,12420,1,29,600.39,0,0.9917092775602058,1
59,12421,5,33,806.27,303,0.8237206603993873,0
60,12422,3,39,803.5600000000001,229,0.8651616899274998,0
61,12423,9,97,1849.11,352,0.7843475703918119,0
62,12424,2,30,1760.96,0,0.9891562386364753,1
63,12425,1,36,777.2,0,0.9907415451551219,1
64,12426,1,30,582.73,0,0.9916164022755605,1
65,12427,5,26,708.37,360,0.7940419688835978,0
66,12428,12,258,7877.2,257,0.8073107426253203,0
67,12429,4,82,3750.4,356,0.7879388605500228,0
68,12430,1,11,256.4,0,0.9940807414160238,1
69,12431,18,163,6348.89,338,0.7688041056570435,0
70,12432,5,107,5059.32,129,0.904267730711667,0
71,12433,7,219,13375.87,372,0.7502586438611614,0
72,12434,4,49,765.19,276,0.8376711572655655,0
73,12435,2,31,7829.89,188,0.8818245169122327,0
